000000000000;100-1=99
000000000001;100-2=98
000000000002;100-3=97
000000000003;100-4=96
000000000004;100-5=95
000000000005;100-6=94
000000000006;100-7=93
000000000007;100-8=92
000000000008;100-91=9
000000000009;100-92=8
000000000010;100-93=7
000000000011;100-94=6
000000000012;100-95=5
000000000013;100-96=4
000000000014;100-97=3
000000000015;100-98=2
000000000016;100-99=1
000000000017;100-9=91
000000000018;100/20=5
000000000019;100/25=4
000000000020;100/2=50
000000000021;100/4=25
000000000022;100/50=2
000000000023;100/5=20
000000000024;101-2=99
000000000025;101-3=98
000000000026;101-4=97
000000000027;101-5=96
000000000028;101-6=95
000000000029;101-7=94
000000000030;101-8=93
000000000031;101-92=9
000000000032;101-93=8
000000000033;101-94=7
000000000034;101-95=6
000000000035;101-96=5
000000000036;101-97=4
000000000037;101-98=3
000000000038;101-99=2
000000000039;101-9=92
000000000040;102-3=99
000000000041;102-4=98
000000000042;102-5=97
000000000043;102-6=96
000000000044;102-7=95
000000000045;102-8=94
000000000046;102-93=9
000000000047;102-94=8
000000000048;102-95=7
000000000049;102-96=6
000000000050;102-97=5
000000000051;102-98=4
000000000052;102-99=3
000000000053;102-9=93
000000000054;102/17=6
000000000055;102/2=51
000000000056;102/34=3
000000000057;102/3=34
000000000058;102/51=2
000000000059;102/6=17
000000000060;103-4=99
000000000061;103-5=98
000000000062;103-6=97
000000000063;103-7=96
000000000064;103-8=95
000000000065;103-94=9
000000000066;103-95=8
000000000067;103-96=7
000000000068;103-97=6
000000000069;103-98=5
000000000070;103-99=4
000000000071;103-9=94
000000000072;104-5=99
000000000073;104-6=98
000000000074;104-7=97
000000000075;104-8=96
000000000076;104-95=9
000000000077;104-96=8
000000000078;104-97=7
000000000079;104-98=6
000000000080;104-99=5
000000000081;104-9=95
000000000082;104/13=8
000000000083;104/26=4
000000000084;104/2=52
000000000085;104/4=26
000000000086;104/52=2
000000000087;104/8=13
000000000088;105-6=99
000000000089;105-7=98
000000000090;105-8=97
000000000091;105-96=9
000000000092;105-97=8
000000000093;105-98=7
000000000094;105-99=6
000000000095;105-9=96
000000000096;105/15=7
000000000097;105/21=5
000000000098;105/35=3
000000000099;105/3=35
000000000100;105/5=21
000000000101;105/7=15
000000000102;106-7=99
000000000103;106-8=98
000000000104;106-97=9
000000000105;106-98=8
000000000106;106-99=7
000000000107;106-9=97
000000000108;106/2=53
000000000109;106/53=2
000000000110;107-8=99
000000000111;107-98=9
000000000112;107-99=8
000000000113;107-9=98
000000000114;108-99=9
000000000115;108-9=99
000000000116;108/12=9
000000000117;108/18=6
000000000118;108/27=4
000000000119;108/2=54
000000000120;108/36=3
000000000121;108/3=36
000000000122;108/4=27
000000000123;108/54=2
000000000124;108/6=18
000000000125;108/9=12
000000000126;10+10=20
000000000127;10+11=21
000000000128;10+12=22
000000000129;10+13=23
000000000130;10+14=24
000000000131;10+15=25
000000000132;10+16=26
000000000133;10+17=27
000000000134;10+18=28
000000000135;10+19=29
000000000136;10+1-2=9
000000000137;10+1-3=8
000000000138;10+1-4=7
000000000139;10+1-5=6
000000000140;10+1-6=5
000000000141;10+1-7=4
000000000142;10+1-8=3
000000000143;10+1-9=2
000000000144;10+1=2+9
000000000145;10+1=3+8
000000000146;10+1=4+7
000000000147;10+1=5+6
000000000148;10+1=6+5
000000000149;10+1=7+4
000000000150;10+1=8+3
000000000151;10+1=9+2
000000000152;10+20=30
000000000153;10+21=31
000000000154;10+22=32
000000000155;10+23=33
000000000156;10+24=34
000000000157;10+25=35
000000000158;10+26=36
000000000159;10+27=37
000000000160;10+28=38
000000000161;10+29=39
000000000162;10+2-3=9
000000000163;10+2-4=8
000000000164;10+2-5=7
000000000165;10+2-6=6
000000000166;10+2-7=5
000000000167;10+2-8=4
000000000168;10+2-9=3
000000000169;10+2=2x6
000000000170;10+2=3+9
000000000171;10+2=3x4
000000000172;10+2=4+8
000000000173;10+2=4x3
000000000174;10+2=5+7
000000000175;10+2=6+6
000000000176;10+2=6x2
000000000177;10+2=7+5
000000000178;10+2=8+4
000000000179;10+2=9+3
000000000180;10+30=40
000000000181;10+31=41
000000000182;10+32=42
000000000183;10+33=43
000000000184;10+34=44
000000000185;10+35=45
000000000186;10+36=46
000000000187;10+37=47
000000000188;10+38=48
000000000189;10+39=49
000000000190;10+3-4=9
000000000191;10+3-5=8
000000000192;10+3-6=7
000000000193;10+3-7=6
000000000194;10+3-8=5
000000000195;10+3-9=4
000000000196;10+3=4+9
000000000197;10+3=5+8
000000000198;10+3=6+7
000000000199;10+3=7+6
000000000200;10+3=8+5
000000000201;10+3=9+4
000000000202;10+40=50
000000000203;10+41=51
000000000204;10+42=52
000000000205;10+43=53
000000000206;10+44=54
000000000207;10+45=55
000000000208;10+46=56
000000000209;10+47=57
000000000210;10+48=58
000000000211;10+49=59
000000000212;10+4-5=9
000000000213;10+4-6=8
000000000214;10+4-7=7
000000000215;10+4-8=6
000000000216;10+4-9=5
000000000217;10+4=2x7
000000000218;10+4=5+9
000000000219;10+4=6+8
000000000220;10+4=7+7
000000000221;10+4=7x2
000000000222;10+4=8+6
000000000223;10+4=9+5
000000000224;10+50=60
000000000225;10+51=61
000000000226;10+52=62
000000000227;10+53=63
000000000228;10+54=64
000000000229;10+55=65
000000000230;10+56=66
000000000231;10+57=67
000000000232;10+58=68
000000000233;10+59=69
000000000234;10+5-6=9
000000000235;10+5-7=8
000000000236;10+5-8=7
000000000237;10+5-9=6
000000000238;10+5=3x5
000000000239;10+5=5x3
000000000240;10+5=6+9
000000000241;10+5=7+8
000000000242;10+5=8+7
000000000243;10+5=9+6
000000000244;10+60=70
000000000245;10+61=71
000000000246;10+62=72
000000000247;10+63=73
000000000248;10+64=74
000000000249;10+65=75
000000000250;10+66=76
000000000251;10+67=77
000000000252;10+68=78
000000000253;10+69=79
000000000254;10+6-7=9
000000000255;10+6-8=8
000000000256;10+6-9=7
000000000257;10+6=2x8
000000000258;10+6=4x4
000000000259;10+6=7+9
000000000260;10+6=8+8
000000000261;10+6=8x2
000000000262;10+6=9+7
000000000263;10+70=80
000000000264;10+71=81
000000000265;10+72=82
000000000266;10+73=83
000000000267;10+74=84
000000000268;10+75=85
000000000269;10+76=86
000000000270;10+77=87
000000000271;10+78=88
